activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18080416,[],CHEMBL4017391,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as reduction in PD-L1/PD1-Ig interaction preincubated with PD-L1 for 15 mins followed by addition of PD1-Ig measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,,,CHEMBL4014356,J Med Chem,2017,"{'bei': '14.21', 'le': '0.27', 'lle': '2.88', 'sei': '7.30'}",CHEMBL4062686,,CHEMBL4062686,7.10,True,http://www.openphacts.org/units/Nanomolar,2997005,=,1,True,=,,IC50,nM,,80.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,80.0
,18080417,[],CHEMBL4017391,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as reduction in PD-L1/PD1-Ig interaction preincubated with PD-L1 for 15 mins followed by addition of PD1-Ig measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cccc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C,,,CHEMBL4014356,J Med Chem,2017,"{'bei': '14.54', 'le': '0.27', 'lle': '3.34', 'sei': '6.64'}",CHEMBL4084368,,CHEMBL4084368,8.65,False,http://www.openphacts.org/units/Nanomolar,2997006,=,1,True,=,,IC50,nM,,2.25,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,2.25
,18080418,[],CHEMBL4017391,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as reduction in PD-L1/PD1-Ig interaction preincubated with PD-L1 for 15 mins followed by addition of PD1-Ig measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@H](O)C[C@@H]3C(=O)O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,,,CHEMBL4014356,J Med Chem,2017,"{'bei': '13.81', 'le': '0.26', 'lle': '2.71', 'sei': '7.29'}",CHEMBL4071326,,CHEMBL4071326,8.85,False,http://www.openphacts.org/units/Nanomolar,2997007,=,1,True,=,,IC50,nM,,1.4,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,1.4
,18748906,[],CHEMBL4263391,Inhibition of PD-L1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,,,CHEMBL4261578,J Med Chem,2018,"{'bei': '18.46', 'le': '0.34', 'lle': '3.87', 'sei': '10.69'}",CHEMBL4089730,,CHEMBL4089730,7.75,False,http://www.openphacts.org/units/Nanomolar,3115239,=,1,True,=,,IC50,nM,,18.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,18.0
,18748907,[],CHEMBL4263391,Inhibition of PD-L1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,,,CHEMBL4261578,J Med Chem,2018,"{'bei': '13.83', 'le': '0.29', 'lle': '0.40', 'sei': '13.73'}",CHEMBL4099869,,CHEMBL4099869,6.84,False,http://www.openphacts.org/units/Nanomolar,3115240,=,1,True,=,,IC50,nM,,146.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,146.0
,18748908,[],CHEMBL4263391,Inhibition of PD-L1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,,,CHEMBL4261578,J Med Chem,2018,"{'bei': '14.21', 'le': '0.27', 'lle': '2.88', 'sei': '7.30'}",CHEMBL4062686,,CHEMBL4062686,7.10,False,http://www.openphacts.org/units/Nanomolar,3115241,=,1,True,=,,IC50,nM,,80.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,80.0
,18748909,[],CHEMBL4263391,Inhibition of PD-L1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@H]1C(=O)N(C)[C@@H](CCCC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(C(=O)NCC(N)=O)CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N2CCCC2C(=O)N[C@@H](CC(C)C)C(=O)NC(=O)N(C)CC(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1C,,,CHEMBL4261578,J Med Chem,2018,"{'bei': '4.79', 'le': None, 'lle': None, 'sei': None}",CHEMBL4288470,,CHEMBL4288470,8.28,False,http://www.openphacts.org/units/Nanomolar,3115242,=,1,True,=,,IC50,nM,,5.2,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,5.2
,20641432,[],CHEMBL4613347,Antagonist activity against PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccccc2)cccc1-c1cn2nc(CNCCO)cnc2n1,,,CHEMBL4613205,Eur J Med Chem,2019,,CHEMBL4639107,,CHEMBL4639107,,False,http://www.openphacts.org/units/Nanomolar,3473992,<,1,True,<,,IC50,nM,,100.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,100.0
,20641433,[],CHEMBL4613347,Antagonist activity against PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CNCC2,,,CHEMBL4613205,Eur J Med Chem,2019,,CHEMBL4636289,,CHEMBL4636289,,False,http://www.openphacts.org/units/Nanomolar,3473993,<,1,True,<,,IC50,nM,,100.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,100.0
,20641434,[],CHEMBL4613347,Antagonist activity against PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(-c2ccc3c(c2)OCCO3)cccc1N1CCC(N[C@H]2C[C@@H](O)C2)CC1,,,CHEMBL4613205,Eur J Med Chem,2019,,CHEMBL4636342,,CHEMBL4636342,,False,http://www.openphacts.org/units/Nanomolar,3473994,<,1,True,<,,IC50,nM,,100.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,100.0
,20641435,[],CHEMBL4613347,Antagonist activity against PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccccc2)cccc1-c1nc2cc(CNCCO)ccc2o1,,,CHEMBL4613205,Eur J Med Chem,2019,,CHEMBL4637826,,CHEMBL4637826,,False,http://www.openphacts.org/units/Nanomolar,3473995,<,1,True,<,,IC50,nM,,100.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,100.0
,20641436,[],CHEMBL4613347,Antagonist activity against PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cncc(COc2cc(O[C@H]3CCc4c(-c5ccccc5)cccc43)c(Cl)cc2CN[C@@H](CO)C(=O)O)c1,,,CHEMBL4613205,Eur J Med Chem,2019,,CHEMBL4633569,,CHEMBL4633569,,False,http://www.openphacts.org/units/Nanomolar,3473996,<,1,True,<,,IC50,nM,,100.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,100.0
,20641437,[],CHEMBL4613347,Antagonist activity against PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@@](O)(C(=O)O)C[C@H](O)[C@@H]1O,,,CHEMBL4613205,Eur J Med Chem,2019,"{'bei': '12.52', 'le': '0.24', 'lle': '5.09', 'sei': '2.69'}",CHEMBL366760,,CHEMBL366760,4.44,False,http://www.openphacts.org/units/Nanomolar,3474000,=,1,True,=,,IC50,nM,,36560.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,uM,UO_0000065,,36.56
,20641441,[],CHEMBL4613351,Inhibition of PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,,,CHEMBL4613205,Eur J Med Chem,2019,,CHEMBL4081869,,CHEMBL4081869,,False,http://www.openphacts.org/units/Nanomolar,3473988,<,1,True,<,,IC50,nM,,100.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,100.0
,20641442,[],CHEMBL4613351,Inhibition of PDL1 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,,,CHEMBL4613205,Eur J Med Chem,2019,,CHEMBL4062686,,CHEMBL4062686,,False,http://www.openphacts.org/units/Nanomolar,3473989,<,1,True,<,,IC50,nM,,100.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,100.0
